,restorant_name,address
0,Sunanda Veg Caterers,"Safilguda
Hyderabad - 500047"
1,Chawla Essence Mart,"Secunderabad
Hyderabad - 500003"
2,Kikaboni Organic Store,"Manikonda
Hyderabad - 500089"
3,Balaji Grand Bazar,"Kondapur
Hyderabad - 500081"
4,Sampoorna Super Market,"Shaikpet
Hyderabad - 500008"
5,S.S. Flour Mill,"Toli Chowki
Hyderabad - 500008"
6,Kirana Ghar,"Punjagutta
Hyderabad - 500082"
7,Sansar Kirana & General Store,"Toli Chowki
Hyderabad - 500008"
8,Vijay Milk House,"Attapur
Hyderabad - 500048"
9,Srinidhi Dry Fruits & Spices,"Kukatpally
Hyderabad - 500072"
10,Amrutha Swagruha Foods,"Kukatpally
Hyderabad - 500072"
11,Balaji Grand Bazar,"Banjara Hills
Hyderabad - 500034"
12,Udayashree Megharaj Sweets,"Narayanguda
Hyderabad - 500029"
13,Almonds For You (Almond House),"Banjara Hills
Hyderabad - 500034"
14,Venkat Sai Dry Fruits & Spices,"Kukatpally
Hyderabad - 500072"
15,no page load,no found
16,Naheed Fruits & Juice Centre,"Mehdipatnam
Hyderabad - 500028"
17,Anusha Super Market,"Gudi Malkapur
Hyderabad - 500028"
18,More Super Market,"Barkatpura
Hyderabad - 500027"
19,Makarand Sweets,"Kondapur
Hyderabad - 500081"
20,M Hospitality,"Ameerpet
Hyderabad - 500016"
21,Value Mart Super Market,"Kondapur
Hyderabad - 500081"
22,Almonds For You (Almond House),"Himayat Nagar
Hyderabad - 500029"
23,Spoorthi Super Market,"Kukatpally
Hyderabad - 500072"
24,More Super Market,"Shaikpet
Hyderabad - 500008"
